word,rev_word
bVrp,prVb
iVgRVIfL,LfIVRgVi
cbfnoGMbJmTPSI,ISPTmJbMGonfbc
oCLrZaWZkSBvrj,jrvBSkZWaZrLCo
Wvgfygw,wgyfgvW
MqZcUDIhyfJs,sJfyhIDUcZqM
xKmTecQoXsfogyrDOxkx,xkxODrygofsXoQceTmKx
nQrSRPeMOkIU,UIkOMePRSrQn
kDyrOSJo,oJSOryDk
XXdocZuzren,nerzuZcodXX
TunPFzPDjqipVJIqVLB,BLVqIJVpiqjDPzFPnuT
zxoiGFfWdhjOkYRBMey,yeMBRYkOjhdWfFGioxz
MDHqJaRUhRIWr,rWIRhURaJqHDM
hsBkDaUUqGW,WGqUUaDkBsh
GgOtOG,GOtOgG
mjxWkIXHaMuFbhxZtpdp,pdptZxhbFuMaHXIkWxjm
ffUFeWIXiiQEJkqHMBn,nBMHqkJEQiiXIWeFUff
WUSmTtzQPxCHChpoev,veophCHCxPQztTmSUW
L,L
oLoaeTOdoecveGprQF,FQrpGevceodOTeaoLo
IiUKKEp,pEKKUiI
ZAmggQBwBADUdRPP,PPRdUDABwBQggmAZ
dzUv,vUzd
pmmI,Immp
iBlrDpeCZJgdPIa,aIPdgJZCepDrlBi
Wpk,kpW
FEnzdkyayqYYDs,sDYYqyaykdznEF
SUYJQTFjmsndLV,VLdnsmjFTQJYUS
dVuddLEGHkdGfleMeR,ReMelfGdkHGELdduVd
zhKpLMcN,NcMLpKhz
AQL,LQA
HuqnQTupqziQPtDuWea,aeWuDtPQizqpuTQnquH
NKgeInGqiwepxsk,ksxpewiqGnIegKN
ITtNZPHaQJtQgiq,qigQtJQaHPZNtTI
gVJj,jJVg
sMnTvnROq,qORnvTnMs
FqdfOBrcavXiOqkVC,CVkqOiXvacrBOfdqF
TBJaheSjIcxLJjBict,tciBjJLxcIjSehaJBT
YcwnRpQgwXJA,AJXwgQpRnwcY
VjpkZZlAblVvYAZQVZpr,rpZVQZAYvVlbAlZZkpjV
YSgycE,EcygSY
mDwtYoob,booYtwDm
zvreXrw,wrXervz
zRIvbhqlLqcgMBwUY,YUwBMgcqLlqhbvIRz
BMGhyKmqcTB,BTcqmKyhGMB
H,H
RUVVQmxBeQvNuQhUtG,GtUhQuNvQeBxmQVVUR
QAuzSsJimA,AmiJsSzuAQ
RVlNKtzJatsnB,BnstaJztKNlVR
MPuDCCRnGEYYVkQfsGQ,QGsfQkVYYEGnRCCDuPM
vfWpRtoZmjbcpENXeDAO,OADeXNEpcbjmZotRpWfv
mTSyFzpjPSaWXgXBolZ,ZloBXgXWaSPjpzFySTm
DdJphDiZDQHJMuWCN,NCWuMJHQDZiDhpJdD
BJCkVECqWpOrXXHFO,OFHXXrOpWqCEVkCJB
rCeTsprv,vrpsTeCr
IfijoySjTne,enTjSyojifI
AvIDAdnAyXLSbW,WbSLXyAndADIvA
yEawtWyAIVVIZMoForB,BroFoMZIVVIAyWtwaEy
byvQRZzUkDiNIbzL,LzbINiDkUzZRQvyb
QbfPBiDldqyunDuvWyr,ryWvuDnuyqdlDiBPfbQ
qfEbVIdwoPeXPc,cPXePowdIVbEfq
p,p
bNjpiEQ,QEipjNb
KnDS,SDnK
XxkMMVThX,XhTVMMkxX
tgLbtK,KtbLgt
zTmeLSOpgSXtR,RtXSgpOSLemTz
ZhYKYcwIBQxeGPvaAFgB,BgFAavPGexQBIwcYKYhZ
ODTjBlUHPrNZ,ZNrPHUlBjTDO
XEDBULrupfrCpWDKNQ,QNKDWpCrfpurLUBDEX
vbFulFnwZqvrM,MrvqZwnFluFbv
JaHmfpUAF,FAUpfmHaJ
WpSEPTFCYbfsozSptQ,QtpSzosfbYCFTPESpW
xEJHwBVJvwSDrtqohUm,mUhoqtrDSwvJVBwHJEx
hVIWSlmnVEr,rEVnmlSWIVh
WHMsgmsoxltaTIircdJ,JdcriITatlxosmgsMHW
SiOWFgaKsE,EsKagFWOiS
CvldqEhezFeKORdj,jdROKeFzehEqdlvC
ZKtfp,pftKZ
JWAM,MAWJ
YNoXHyCCtLBtKNdNVgWn,nWgVNdNKtBLtCCyHXoNY
qQfkplJ,JlpkfQq
kaA,Aak
SMEscosTsSDeRoq,qoReDSsTsocsEMS
QZmBhIoPjrjedkYtMVK,KVMtYkdejrjPoIhBmZQ
ChDStSzrGI,IGrzStSDhC
CfMcBVuMqbfoRKLb,bLKRofbqMuVBcMfC
KcWWlEHPC,CPHElWWcK
lLBOFfEwA,AwEfFOBLl
uQgkvASFsQz,zQsFSAvkgQu
cDfuquhXzGaQIDAdmH,HmdADIQaGzXhuqufDc
NWFOCWdnrJis,siJrndWCOFWN
SFhbOMZpTktJaJA,AJaJtkTpZMObhFS
ohD,Dho
PjFT,TFjP
GTrAEEpDJj,jJDpEEArTG
mMGVierXYAvYG,GYvAYXreiVGMm
asUtLLQFj,jFQLLtUsa
IEwvJWIyDumSpKy,yKpSmuDyIWJvwEI
XAcuVETZ,ZTEVucAX
yQYPjFciGLvgC,CgvLGicFjPYQy
HDaU,UaDH
APjeE,EejPA
vNSzPfvRI,IRvfPzSNv
uOTWFIcNepORs,sROpeNcIFWTOu
VfBgWOTg,gTOWgBfV
kStbcuYdswxBjpH,HpjBxwsdYucbtSk
KRYlklfNyNRpFL,LFpRNyNflklYRK
oDOqD,DqODo
QaZDsRIke,ekIRsDZaQ
wLtOBSqDtmyEgpy,ypgEymtDqSBOtLw
wKsSsbQzraKRXVdMVFs,sFVMdVXRKarzQbsSsKw
MZwoOmNq,qNmOowZM
OgOPc,cPOgO
YCcLxUifsu,usfiUxLcCY
lmiYIxHGrkqEZs,sZEqkrGHxIYiml
ZhDejWoRURz,zRURoWjeDhZ
xfYzaqIhDxRVRqLyOx,xOyLqRVRxDhIqazYfx
RoEb,bEoR
JuNoPeODStPAhicctFhg,ghFtccihAPtSDOePoNuJ
IiyDxQVS,SVQxDyiI
ALVUjAPgFNArcSxnCC,CCnxScrANFgPAjUVLA
xgRxIPwd,dwPIxRgx
rmhDfQnPOMbdY,YdbMOPnQfDhmr
piYKneWJnLn,nLnJWenKYip
vXjYMarj,jraMYjXv
IqZlh,hlZqI
i,i
w,w
LublqdiV,VidqlbuL
HhVeECXxGLgCGo,oGCgLGxXCEeVhH
cUYQHtDPbdEzBRgFTCef,feCTFgRBzEdbPDtHQYUc
MjeirNOLJTu,uTJLONriejM
MHsDGMBgYShPP,PPhSYgBMGDsHM
UnBCoAvDzAUguBuQqx,xqQuBugUAzDvAoCBnU
REeff,ffeER
BgV,VgB
ZiJdLJJvQhAw,wAhQvJJLdJiZ
UdsMtwgKGnjQEo,oEQjnGKgwtMsdU
wJxh,hxJw
KoZBJXNNR,RNNXJBZoK
bMQSrblrSWtvwaljKQ,QKjlawvtWSrlbrSQMb
ejVObfVHnyADv,vDAynHVfbOVje
xtUuXK,KXuUtx
fdjkWNdRfrCQBFMCArnW,WnrACMFBQCrfRdNWkjdf
hwBhsRRLFHQtcozMd,dMzoctQHFLRRshBwh
n,n
nXiWqsuhaF,FahusqWiXn
liyIToGJQZwezV,VzewZQJGoTIyil
Bb,bB
euKBKzTOAshzbuk,kubzhsAOTzKBKue
DSxfBgpBLzHfztVvovXk,kXvovVtzfHzLBpgBfxSD
GOh,hOG
GmXwwUPjpgjqmlMjW,WjMlmqjgpjPUwwXmG
lXO,OXl
DWKWLCRKPONuOujC,CjuOuNOPKRCLWKWD
ECO,OCE
YrLdwGetDC,CDteGwdLrY
dx,xd
ePfNMGyDLJ,JLDyGMNfPe
CZ,ZC
PmuMEGjdCgZvTfGPlcp,pclPGfTvZgCdjGEMumP
CHHNkxxsyAXvRMd,dMRvXAysxxkNHHC
evgJRysqUQM,MQUqsyRJgve
vfLQj,jQLfv
tPSQziMTftJy,yJtfTMizQSPt
iQSVRHfPQBG,GBQPfHRVSQi
bxtlnvXFmoij,jiomFXvnltxb
sYg,gYs
XIVHcQvXNiMyjklSX,XSlkjyMiNXvQcHVIX
ZkUCcAxRUpCNsWVYCoIp,pIoCYVWsNCpURxAcCUkZ
ZYEmxRKCDX,XDCKRxmEYZ
XyGHAkmZMi,iMZmkAHGyX
dPExJgTHh,hHTgJxEPd
fWkrCGjBfo,ofBjGCrkWf
wbAdzGxpyfxobug,guboxfypxGzdAbw
YjicsESiWTE,ETWiSEscijY
NafbqnjJUMHBhXs,sXhBHMUJjnqbfaN
thdpAOYN,NYOApdht
ehFMIbOGKpTjsBa,aBsjTpKGObIMFhe
wpKAlQQfHxeHIGYGJbyE,EybJGYGIHexHfQQlAKpw
Oy,yO
qVbwYewpUQOg,gOQUpweYwbVq
VWvicwIvPlXRDSEOlZi,iZlOESDRXlPvIwcivWV
TXD,DXT
sm,ms
Ym,mY
ut,tu
zIEqcWPmswXdPvrhZ,ZhrvPdXwsmPWcqEIz
BzVCyvlFSFxZ,ZxFSFlvyCVzB
rZfUBfBMlIsugfuQs,sQufgusIlMBfBUfZr
CMTBkSCwCc,cCwCSkBTMC
NBrOYdeQOzxG,GxzOQedYOrBN
bjMRYC,CYRMjb
ie,ei
XPxxyKcM,McKyxxPX
RCxxC,CxxCR
KiH,HiK
zuPrphbVlFHy,yHFlVbhprPuz
hqXqTCnNsSFmhieClT,TlCeihmFSsNnCTqXqh
fZRuQwTeJIstkTT,TTktsIJeTwQuRZf
YxGohm,mhoGxY
pYFbx,xbFYp
KxDZJiNfetzTUEHAXA,AXAHEUTztefNiJZDxK
eiuPeCDRHwiXJOLlXiB,BiXlLOJXiwHRDCePuie
dhHjtkkuTowHsfqmO,OmqfsHwoTukktjHhd
riOtNIfGPkLLjkQNUM,MUNQkjLLkPGfINtOir
KcbfcPXKqPn,nPqKXPcfbcK
ANObFOIsPtEpZZRztDe,eDtzRZZpEtPsIOFbONA
kC,Ck
EDnvMjuTuUwziW,WizwUuTujMvnDE
GJgupDhrCpjg,gjpCrhDpugJG
sy,ys
ApkuKUumWkFGDFtFbfzG,GzfbFtFDGFkWmuUKukpA
pnLwddsFMPREsIa,aIsERPMFsddwLnp
BiqU,UqiB
WzxczdKJmxJs,sJxmJKdzcxzW
yGC,CGy
rNRNhigzxYvJxWjmMG,GMmjWxJvYxzgihNRNr
GccciTvZEHDjM,MjDHEZvTicccG
iuNukzNVtLvGGIFTK,KTFIGGvLtVNzkuNui
EbxvRhALtY,YtLAhRvxbE
M,M
qPYXLKoUdLEkHOUN,NUOHkELdUoKLXYPq
jRpcKShmbCuAj,jAuCbmhSKcpRj
SnAGXNEVUdTiHn,nHiTdUVENXGAnS
uQEHyulDIvIwRXURPZ,ZPRUXRwIvIDluyHEQu
NEmprJtot,totJrpmEN
TnSTFuEwJY,YJwEuFTSnT
shKRIyzwX,XwzyIRKhs
scsTf,fTscs
CPqVEnmIrJSr,rSJrImnEVqPC
gNVLp,pLVNg
dQHoOodg,gdoOoHQd
vTEgRXiaJkAPEE,EEPAkJaiXRgETv
WsusPdX,XdPsusW
PKo,oKP
VUclAlczYFlVscatKM,MKtacsVlFYzclAlcUV
vsDP,PDsv
HFiGDrmZhvkUDPqTla,alTqPDUkvhZmrDGiFH
YsKRWmlNOzB,BzONlmWRKsY
ufzQgliEupaqypCWr,rWCpyqapuEilgQzfu
tLUKaqPxSpd,dpSxPqaKULt
Dtkz,zktD
TXtShOsxNooiEjDVM,MVDjEiooNxsOhStXT
ASJEWIZQnWpR,RpWnQZIWEJSA
YfHCHTxeKhdJGmKIjkuH,HukjIKmGJdhKexTHCHfY
hRnTLFfGCZdDiGA,AGiDdZCGfFLTnRh
KdJDRZtUbzqaVnL,LnVaqzbUtZRDJdK
cBw,wBc
Ide,edI
csAlXiXPUPAxyCyy,yyCyxAPUPXiXlAsc
RQI,IQR
PwhlI,IlhwP
HiUoaWbtDRUIB,BIURDtbWaoUiH
yopDwjrmUWhcZQANXb,bXNAQZchWUmrjwDpoy
negMcCMR,RMCcMgen
pV,Vp
zC,Cz
InWXdiGs,sGidXWnI
UKuKMXRu,uRXMKuKU
tjQHoAtr,rtAoHQjt
JL,LJ
ORBJFd,dFJBRO
PQyYHuSAAjty,ytjAASuHYyQP
WIEpot,topEIW
ZDdJA,AJdDZ
JHiypqnvPfCxfI,IfxCfPvnqpyiHJ
dryRMMc,cMMRyrd
mZW,WZm
UQJnEnvtanmVhVWEpSM,MSpEWVhVmnatvnEnJQU
zpJuXsy,ysXuJpz
IPwtqxGFDgZUEWu,uWEUZgDFGxqtwPI
xuAcKoV,VoKcAux
bqJLL,LLJqb
sjmvoyKpFJPRvq,qvRPJFpKyovmjs
UPVFDkUYwkiUIFlI,IlFIUikwYUkDFVPU
Hc,cH
QdW,WdQ
A,A
OoeTj,jTeoO
n,n
DxdNOQNEQFbaIJAab,baAJIabFQENQONdxD
UrIsbGSRBZlggHjpm,mpjHgglZBRSGbsIrU
HqwrYzfxzDKpSotRfPPW,WPPfRtoSpKDzxfzYrwqH
fz,zf
yJEdOaSkfFBPY,YPBFfkSaOdEJy
KgHconSKErc,crEKSnocHgK
RrI,IrR
QclubnLjWTzetkKpKyR,RyKpKktezTWjLnbulcQ
vyWViYSUfGVwdgBoev,veoBgdwVGfUSYiVWyv
XNMzXubOrYCFowJyBlRL,LRlByJwoFCYrObuXzMNX
fXNsZpTefrjyT,TyjrfeTpZsNXf
Vyuxg,gxuyV
atC,Cta
WrgiflBCJJGA,AGJJCBlfigrW
bfwJ,Jwfb
MMY,YMM
yasAyXfUJpK,KpJUfXyAsay
kRykirtrFjekBrAtE,EtArBkejFrtrikyRk
xqp,pqx
MNmDgitazvNyZvCv,vCvZyNvzatigDmNM
PMituMSmEulzus,suzluEmSMutiMP
KYpuyrYzxhKmLIlR,RlILmKhxzYryupYK
bUDTnCZsSeYYARFiOt,tOiFRAYYeSsZCnTDUb
qQjTBYye,eyYBTjQq
MELzIGSAIcYxSZI,IZSxYcIASGIzLEM
OfgXpQQwkPNcKPRPzWvY,YvWzPRPKcNPkwQQpXgfO
gagqoGVHJLSKoC,CoKSLJHVGoqgag
zDXRLSGjwbEg,gEbwjGSLRXDz
AfhUjwtvDY,YDvtwjUhfA
HEwEgCU,UCgEwEH
uetcZThbvPgRZkV,VkZRgPvbhTZcteu
HlJkvJBD,DBJvkJlH
ZzOllOQB,BQOllOzZ
bVNmCLByaTnnr,rnnTayBLCmNVb
KgZ,ZgK
lxumDhqQFHOuMyNzLh,hLzNyMuOHFQqhDmuxl
wDNlRTZtNLfR,RfLNtZTRlNDw
uhpth,htphu
xSjGyA,AyGjSx
iKyBlFOISPlJkFsiluCN,NCulisFkJlPSIOFlByKi
wa,aw
imyJGPFARFATCFkf,fkFCTAFRAFPGJymi
bYWoscroIskXDKVXXFJ,JFXXVKDXksIorcsoWYb
hKhrXIxIWcWUCInBg,gBnICUWcWIxIXrhKh
tcCqwfCh,hCfwqCct
nZVLSwTN,NTwSLVZn
kNiYnnZdKwIrMI,IMrIwKdZnnYiNk
uTssKr,rKssTu
RgiWYAdrPiSipjTup,puTjpiSiPrdAYWigR
FjKOrOAyCeOYX,XYOeCyAOrOKjF
zGV,VGz
SxDFuLaXU,UXaLuFDxS
UDO,ODU
eYIznBnFrusv,vsurFnBnzIYe
KiKFYvRWdcgOYDbhkC,CkhbDYOgcdWRvYFKiK
aBmSiPtkrfPxqfx,xfqxPfrktPiSmBa
dzOtUS,SUtOzd
BPfTganE,EnagTfPB
iLo,oLi
RCaaSvhBSiEeoyfUZ,ZUfyoeEiSBhvSaaCR
guxt,txug
yXWiP,PiWXy
eHKaN,NaKHe
CwUnOV,VOnUwC
ANRCn,nCRNA
giW,Wig
LUyw,wyUL
uYiprPfpJMMUMs,sMUMMJpfPrpiYu
Q,Q
nHMGmVzsPd,dPszVmGMHn
FyhpFOMe,eMOFphyF
axuiyKAxIRlWEXebL,LbeXEWlRIxAKyiuxa
aqn,nqa
dY,Yd
GsOTGXABSzfOI,IOfzSBAXGTOsG
NjrftfGnZjIuzLOWPR,RPWOLzuIjZnGftfrjN
tSB,BSt
dpfBhDNM,MNDhBfpd
tQ,Qt
haTiSa,aSiTah
FwHHYU,UYHHwF
kxiVXrUhX,XhUrXVixk
v,v
rHeqTKOeFDGxdF,FdxGDFeOKTqeHr
kxkqXgKRUhoVGacapcE,EcpacaGVohURKgXqkxk
yjlcJZTVPAou,uoAPVTZJcljy
AUureKxh,hxKeruUA
RdloZHczeDsXtufJD,DJfutXsDezcHZoldR
x,x
sKYtVNp,pNVtYKs
xLFXXmUIWYpjaAb,bAajpYWIUmXXFLx
IwOSavaW,WavaSOwI
VUtgnHpAFdjTr,rTjdFApHngtUV
coH,Hoc
SxDVfLgGiOzeLK,KLezOiGgLfVDxS
BQ,QB
psquZ,Zuqsp
SVuuCroemiXXL,LXXimeorCuuVS
jgkC,Ckgj
uAhIwXnCtDqhfkZ,ZkfhqDtCnXwIhAu
TSMcnujfTp,pTfjuncMST
zGdRtqlbzCJV,VJCzblqtRdGz
pgDgZYihadXoimzxRO,ORxzmioXdahiYZgDgp
LLq,qLL
bem,meb
ZifZvhcDdkKBUzF,FzUBKkdDchvZfiZ
y,y
lwnlrrCjcNNNpP,PpNNNcjCrrlnwl
FAJEdfryiA,AiyrfdEJAF
PZHpOZI,IZOpHZP
y,y
EIYFwKGuyrlb,blryuGKwFYIE
MobZXrdZEHw,wHEZdrXZboM
okgpQprIYVdWoKZywll,llwyZKoWdVYIrpQpgko
LuZVSwLb,bLwSVZuL
KKjKmZFItlFc,cFltIFZmKjKK
doM,Mod
bHEavNmZ,ZmNvaEHb
vTlZu,uZlTv
bj,jb
TjXhHxexTQzLgvtuikU,UkiutvgLzQTxexHhXjT
YOFPulTJSNYwoQ,QowYNSJTluPFOY
lytUSsilUaSKzXKclMu,uMlcKXzKSaUlisSUtyl
oOKgFjvVepwukOfTQOUv,vUOQTfOkuwpeVvjFgKOo
aqnpSewqYgUadyC,CydaUgYqweSpnqa
kAFywIygEYKPWR,RWPKYEgyIwyFAk
kCeZcsbu,ubscZeCk
gevkykUeJ,JeUkykveg
vMN,NMv
TbBPkMBkdgvnmASJ,JSAmnvgdkBMkPBbT
qQstpgdzKJFjdxaBfs,sfBaxdjFJKzdgptsQq
EmgbnkOsfEhtYzEFQqfP,PfqQFEzYthEfsOknbgmE
ylxyxlCcqCDqorKdjW,WjdKroqDCqcClxyxly
fQwZ,ZwQf
AWLoJdyHAIREKpEtfz,zftEpKERIAHydJoLWA
GK,KG
ZKRNjhWClknZmicBf,fBcimZnklCWhjNRKZ
mOjMquUZefyJzJ,JzJyfeZUuqMjOm
rHDaYSNLHYA,AYHLNSYaDHr
AjjK,KjjA
LWggKXgYsIwAqyPFKME,EMKFPyqAwIsYgXKggWL
lr,rl
jNMRSzczvSpdV,VdpSvzczSRMNj
rxbvYttrFSRgoitV,VtiogRSFrttYvbxr
XurUAMPfmCnAVFW,WFVAnCmfPMAUruX
xdGYketTGziXHKblm,mlbKHXizGTtekYGdx
dpcDdxT,TxdDcpd
rxDGzOh,hOzGDxr
p,p
FMClELJwwkqV,VqkwwJLElCMF
sby,ybs
kK,Kk
oPoRnrP,PrnRoPo
GbXXRaEiPlMZao,oaZMlPiEaRXXbG
MZtTTPrBy,yBrPTTtZM
DqnDtRHNzLga,agLzNHRtDnqD
QxJPMMstRgEevrOur,ruOrveEgRtsMMPJxQ
PTPtmjHWp,pWHjmtPTP
ZZ,ZZ
zQuRiUbPFsqAzyVcLTKm,mKTLcVyzAqsFPbUiRuQz
UToRIOYEQwG,GwQEYOIRoTU
kQJlsgEiVq,qViEgslJQk
WlRvPfowoVtAYvxqLs,sLqxvYAtVowofPvRlW
hEdOLLNeEmGhRyH,HyRhGmEeNLLOdEh
AdjimvAKDj,jDKAvmijdA
TlXfFvOluOd,dOulOvFfXlT
C,C
nWXkKWkFY,YFkWKkXWn
iNB,BNi
zBEyacImUxauWH,HWuaxUmIcayEBz
bRaOUpo,opUOaRb
tigyGLtkects,stcektLGygit
